Filename	Start_Time	Text
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:01:41	is explore where you are today for two reasons.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:01:44	One, so that you can contribute more.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:01:46	And two, so that hopefully we can not just understand other people more,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:01:49	but maybe appreciate them more
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:01:51	and create the kinds of connections that can stop
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:01:53	some of the challenges that we face in our society today.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:01:55	They're only going to get magnified
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:01:57	by the very technology that's connecting us.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:01:59	Because it's making us intersect.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:02:01	And that intersection doesn't always create the
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:02:03	view of everybody now understands everybody
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:02:05	and everybody appreciates everybody.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:02:07	So, I've had an obsession basically for 30 years.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:02:10	And that obsession has been
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:02:11	what makes the difference in the quality of people's lives?
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:02:15	What makes the difference in their performance?
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:02:16	Because that's what I got hired to do.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:02:17	I've got to produce the result now.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:02:18	That's what I've done for 30 years.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:02:20	I get the phone call when the athlete is burning down
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:02:23	on national television,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:02:24	and they were ahead by five strokes,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:02:26	and now they can't get back on the course.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:02:28	And I've got to do something right now
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:02:29	to get the result, and nothing matters.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:02:31	I get the phone call when the child is going to commit suicide,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:02:34	and I've got to do something right now.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:02:35	And in 29 years, I'm very grateful to tell you
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:02:37	I've never lost one in 29 years.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:02:39	It doesn't mean I won't someday, but I haven't done it.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:02:41	And the reason is an understanding of these human needs
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:02:43	that I want to talk to you about.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:02:45	So, when I get those calls about performance,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:02:47	that's one thing, like how do you make a change?
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:02:49	But also, I'm looking to see
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:02:51	what is it that's shaping that person's ability
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:02:54	to contribute, to do something beyond themselves.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:02:57	So maybe the real question is,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:02:58	you know, I look at life and say
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:03:00	there's two master lessons.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:03:01	One is, there's the science of achievement,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:03:03	which almost everything in this room is mastered to an amazing extent.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:03:06	That's how you take the invisible and make it visible, right?
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:03:08	How you take what you dream about and make it happen.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:03:10	Whether it be your business, your contribution to society,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:03:12	money, whatever it is for you,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:03:14	your body, your family.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:03:15	But the other lesson of life that is rarely mastered
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:03:18	is the art of fulfillment.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:03:19	Because science is easy, right?
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:03:21	We know the rules, you write the code, you follow the...
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:03:24	Once you know the game, you just, you know,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:03:25	you up the ante, don't you?
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:03:27	But when it comes to fulfillment, that's an art.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:03:29	And the reason is it's about appreciation
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:03:31	and it's about contribution.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:03:33	You can only feel so much by yourself.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:03:35	So, I've had an interesting laboratory to try to answer
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:03:37	the question of the real question, which is
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:03:39	what's the difference in somebody's life if you look at somebody like
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:03:42	those people that you've given everything to,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:03:44	like all the resources they say they need.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:03:46	You gave them not a hundred dollar computer,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:03:47	you gave them the best computer. You gave them love,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:03:49	you gave them joy, you were there to comfort them.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:03:51	And those people very often, and you know some of them,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:03:54	they're in there and that the rest of their life,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:03:55	with all this love, education, money, and background,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:03:57	spending their life going in and out of rehab.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:04:00	And then you meet people that have been through
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:04:01	ultimate pain. Psychologically,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:04:04	sexually, spiritually, emotionally abused,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:04:06	and not always, but often,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:04:08	they become some of the people that contribute the most
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:04:09	to society. So,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:04:11	the question we've got to ask ourselves really is
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:04:13	what is it? What is it
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:04:16	that shapes us? And we live in a therapy culture.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:04:18	Most of us don't do that, but the culture's a therapy culture.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:04:20	And what I mean by that is the mindset
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:04:21	that we are our past.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:04:24	You could be in this room, you wouldn't be in this room
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:04:25	if you bought that theory, but most of society thinks
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:04:27	biography is destiny. The past
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:04:30	equals the future. And of course it does
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:04:31	if you live there. But what people in this room know,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:04:34	and what we have to remind ourselves though,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:04:35	because you can know something intellectually,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:04:37	you can know what to do and then not use it, not apply it.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:04:40	So, really what we've got to remind ourselves is
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:04:41	decision is the ultimate power.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:04:44	That's what it really is. Now, when you ask people,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:04:46	you know, have you failed to achieve something?
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:04:48	How many have ever failed to achieve something significant
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:04:50	in your life? Say, aye.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:04:51	Thanks for the interaction on a high level there.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:04:55	But if you ask people,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:04:57	why didn't you achieve something?
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:04:58	Somebody who's working for you, you know,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:04:59	or a partner, or even yourself.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:05:01	When you fail to achieve a goal, what's the reason
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:05:03	people say they failed to achieve? What do they tell you?
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:05:05	Didn't know enough. Didn't have the knowledge.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:05:08	Didn't have the money.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:05:10	Didn't have the time.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:05:11	Didn't have the technology.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:05:14	You know, I didn't have the right manager.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:05:16	Didn't have the Supreme Court.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:05:32	And,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:05:35	and,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:05:36	and,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:05:39	what do all those
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:05:40	including the Supreme Court have in common?
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:05:43	They are a claim to you missing
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:05:45	resources. And they may be
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:05:48	accurate. You may not have the money. You may not
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:05:50	have the Supreme Court. But that is not
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:05:52	the defining factor.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:05:58	And you correct me if I'm wrong.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:06:01	The defining factor
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:06:03	is never resources. It's resourcefulness.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:06:05	And what I mean specifically, rather than just
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:06:06	some phrase, is if you have
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:06:08	emotion, human emotion,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:06:11	something that I experienced from you
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:06:13	day before yesterday at a level that is
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:06:15	as profound as I've ever experienced,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:06:17	and if you'd communicated with that emotion,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:06:18	I believe you would have beat his ass and won.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:06:22	And I'm not saying
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:06:22	
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:06:22	I'm saying that you should be doing that.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:06:23	And I'm not saying that you should be doing that.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:06:25	But,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:06:26	how easy for me
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:06:27	to tell him what he should do.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:06:31	Idiot.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:06:32	Robbins.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:06:33	But I know, when we watched
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:06:36	a debate, when we watched
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:06:38	a debate at that time, there were
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:06:39	emotions that blocked people's ability to get this
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:06:42	man's intellect and capacity and the way they came
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:06:44	across to some people in that day. Because I know
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:06:46	people that wanted to vote in your direction
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:06:48	and didn't, and I was upset.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:06:51	But there was emotion
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:06:51	that was there. How many know what I'm talking about here? Say, I.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:06:54	I.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:06:55	So emotion is it, and if we get the right emotion,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:06:58	we can get ourselves to do anything.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:07:00	We can get through it. If you're creative enough, playful enough,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:07:02	fun enough, can you get through to anybody, yes or no?
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:07:04	Yes. If you don't have the money, but
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:07:06	you're creative and determined enough, you find the way.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:07:08	So this is the ultimate resource, but this is
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:07:10	not the story that people tell us.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:07:12	Right? The story people tell us is a bunch of
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:07:14	different stories. They tell us we don't have the resources, but
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:07:16	ultimately, if you take a look here, flip it
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:07:18	up if you would, they say, what are all
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:07:20	the reasons they haven't come? We've said that. Next one, please.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:07:22	He's broken my pattern, that son of a bitch.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:07:24	But I appreciated the energy, I'll tell you that.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:07:31	What determines your resources?
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:07:33	We've said decision shaped destiny,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:07:35	which is my focus here.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:07:36	If decisions shape destiny,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:07:38	what determines it is three decisions.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:07:39	What are you going to focus on?
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:07:40	Right now, you have to decide what you're going to focus on.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:07:42	In this second, consciously or unconsciously,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:07:44	the minute you decide to focus on something,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:07:46	you've got to give it a meaning.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:07:47	And whatever that meaning is produces emotion.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:07:49	Is this the end or the beginning?
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:07:51	Is God punishing me or rewarding me,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:07:53	or is this the end?
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:07:54	The roll of the dice.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:07:55	And emotion then creates what we're going to do,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:07:57	or the action. So, think about your own life,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:08:00	the decisions that have shaped your destiny.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:08:02	And that sounds really heavy, but
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:08:03	in the last five or ten years, fifteen years,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:08:05	haven't there been some decisions you've made that if you made a different
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:08:07	decision, your life would be completely different?
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:08:10	How many can think of one, honestly?
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:08:12	Better or worse? Say, aye.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:08:13	So the bottom line is, maybe it was where to go to work,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:08:16	and you met the love of your life there.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:08:18	Maybe it was a career decision. I know the Google geniuses
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:08:20	I saw here. I mean, I understand
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:08:22	that their decision was to sell their technology
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:08:24	at first. What if they made that decision
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:08:26	versus to build their own culture? How would the world
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:08:28	be different? How would their lives be different?
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:08:29	Their impact. The history of our world
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:08:32	is these decisions. When a woman
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:08:34	stands up and says, no, I won't go to the back
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:08:36	of the bus, she didn't just
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:08:38	affect her life. That decision shaped
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:08:39	our culture. Or someone standing in front
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:08:42	of a tank. Or being in a position
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:08:44	like Lance Armstrong, and someone says to you,
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:08:46	you've got testicular cancer. That's
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:08:48	pretty tough for any male, especially if you ride a bike.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:08:51	Right?
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:08:52	You got it in your brain. You got it in your lungs.
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:08:54	But what was his decision
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk.mp4	00:08:56	of what to focus on? Different than most people.
