video,segment_index,start_time,end_time,language,scene_id,text
17Min,18,75.64,80.1,en,27,"And this metallic liquid hydrogen generates an incredibly powerful magnetic field,"
17Min,19,80.32,85.6,en,28,"almost 20,000 times stronger than Earth if you measure at the same distance away."
17Min,19,80.32,85.6,en,28,"almost 20,000 times stronger than Earth if you measure at the same distance away."
17Min,20,85.9,88.0,en,28,"So if you could see this magnetic field, it would be the first time in history that you would see it."
17Min,20,85.9,88.0,en,28,"So if you could see this magnetic field, it would be the first time in history that you would see it."
17Min,21,88.0,91.94,en,29,"If you could see this magnetic field from Earth, it would appear twice as big as the full moon."
17Min,21,88.0,91.94,en,29,"If you could see this magnetic field from Earth, it would appear twice as big as the full moon."
17Min,22,93.38,96.5,en,30,"On its own, that magnetic field is harmless."
17Min,22,93.38,96.5,en,30,"On its own, that magnetic field is harmless."
17Min,23,96.76,102.3,en,31,"But right in the middle of it is the most volcanically active world in the solar system,"
17Min,23,96.76,102.3,en,31,"But right in the middle of it is the most volcanically active world in the solar system,"
17Min,24,102.48,104.16,en,33,"Jupiter's moon, Io."
17Min,24,102.48,104.16,en,33,"Jupiter's moon, Io."
17Min,25,105.46,109.98,en,34,"The volcanoes on Io's surface shoot out tons of sulfur dioxide,"
17Min,25,105.46,109.98,en,34,"The volcanoes on Io's surface shoot out tons of sulfur dioxide,"
17Min,26,110.42,116.94,en,35,"and every second, one ton of this material gets ionized and trapped inside Jupiter's magnetic field."
17Min,26,110.42,116.94,en,35,"and every second, one ton of this material gets ionized and trapped inside Jupiter's magnetic field."
17Min,27,116.94,122.12,en,37,And the field accelerates these particles to rotate incredibly fast with Jupiter.
17Min,27,116.94,122.12,en,37,And the field accelerates these particles to rotate incredibly fast with Jupiter.
17Min,28,122.34,126.38,en,37,So they whiz around at over 300 kilometers per second.
17Min,28,122.34,126.38,en,37,So they whiz around at over 300 kilometers per second.
17Min,29,126.64,129.76,en,38,"Their inertia actually pulls back on the field,"
17Min,29,126.64,129.76,en,38,"Their inertia actually pulls back on the field,"
17Min,30,129.92,131.1,en,39,stretching it out.
17Min,30,129.92,131.1,en,39,stretching it out.
17Min,31,131.3,134.42,en,40,"And this trapped material slams into other moons,"
17Min,31,131.3,134.42,en,40,"And this trapped material slams into other moons,"
17Min,32,134.62,137.08,en,41,ejecting even more particles from their surfaces.
17Min,32,134.62,137.08,en,41,ejecting even more particles from their surfaces.
17Min,33,137.46,144.5,en,41,This cycle forms massive radiation belts which span past Europa and the other moons of Jupiter.
17Min,33,137.46,144.5,en,41,This cycle forms massive radiation belts which span past Europa and the other moons of Jupiter.
17Min,34,145.52,146.44,en,42,Now for
17Min,34,145.52,146.44,en,42,Now for
17Min,35,146.44,146.7,en,43,"electronics,"
17Min,35,146.44,146.7,en,43,"electronics,"
17Min,36,147.4,149.7,en,43,this intense radiation is kryptonite.
17Min,36,147.4,149.7,en,43,this intense radiation is kryptonite.
17Min,37,149.82,155.18,en,43,"In the 1970s, the Pioneer 10 and Voyager missions only briefly passed by Jupiter."
17Min,37,149.82,155.18,en,43,"In the 1970s, the Pioneer 10 and Voyager missions only briefly passed by Jupiter."
17Min,38,155.5,161.98,en,45,"But the radiation caused glitches, gave the instruments false commands, and corrupted some of their data."
17Min,38,155.5,161.98,en,45,"But the radiation caused glitches, gave the instruments false commands, and corrupted some of their data."
17Min,39,162.3,168.74,en,46,"Even with modern shielding, a spacecraft within the radiation belts would only survive for around three months."
17Min,39,162.3,168.74,en,46,"Even with modern shielding, a spacecraft within the radiation belts would only survive for around three months."
17Min,40,169.14,175.28,en,47,"So how will NASA's new mission, the Europa Clipper, orbit Europa for over four years"
17Min,40,169.14,175.28,en,47,"So how will NASA's new mission, the Europa Clipper, orbit Europa for over four years"
17Min,41,175.28,176.42,en,48,without getting fired?
17Min,41,175.28,176.42,en,48,without getting fired?
17Min,43,176.44,179.44,en,48,"Well, the solution is it won't."
17Min,43,176.44,179.44,en,48,"Well, the solution is it won't."
17Min,44,179.82,186.74,en,48,It'll orbit Jupiter from afar and then swoop in every few weeks to quickly fly by Europa and then leave again.
17Min,44,179.82,186.74,en,48,It'll orbit Jupiter from afar and then swoop in every few weeks to quickly fly by Europa and then leave again.
17Min,45,186.98,192.8,en,49,"And since the mission is going to collect a lot of data, it can use the downtime while it's way out here to"
17Min,45,186.98,192.8,en,49,"And since the mission is going to collect a lot of data, it can use the downtime while it's way out here to"
17Min,46,192.8,196.62,en,50,transmit it all back to Earth before going in for another swoop.
17Min,46,192.8,196.62,en,50,transmit it all back to Earth before going in for another swoop.
17Min,47,196.76,201.24,en,50,"In all, it'll do 49 flybys, mapping almost the entire surface."
17Min,47,196.76,201.24,en,50,"In all, it'll do 49 flybys, mapping almost the entire surface."
17Min,48,201.6,205.06,en,52,"That's actually how the Clipper got its name, after the fast and nimble"
17Min,48,201.6,205.06,en,52,"That's actually how the Clipper got its name, after the fast and nimble"
17Min,49,205.06,209.38,en,53,19th century Clipper ships quickly dipping in and out of ports.
17Min,49,205.06,209.38,en,53,19th century Clipper ships quickly dipping in and out of ports.
17Min,50,210.42000000000002,214.42,en,54,"But of all the places in the solar system to look for life, why Europa?"
17Min,50,210.42000000000002,214.42,en,54,"But of all the places in the solar system to look for life, why Europa?"
17Min,51,214.94,221.58,en,56,"If you stood on Europa's surface, you'd be hit with 5,400 millisieverts of radiation in a single day."
17Min,51,214.94,221.58,en,56,"If you stood on Europa's surface, you'd be hit with 5,400 millisieverts of radiation in a single day."
17Min,52,221.82,226.76,en,56,"That's 1,800 times more than the annual dose here on Earth."
17Min,52,221.82,226.76,en,56,"That's 1,800 times more than the annual dose here on Earth."
17Min,53,227.5,232.1,en,56,"If you stay here for a couple hours, you would eventually die from radiation sickness."
17Min,53,227.5,232.1,en,56,"If you stay here for a couple hours, you would eventually die from radiation sickness."
17Min,54,232.4,235.04,en,57,But Europa contains a signal.
17Min,54,232.4,235.04,en,57,But Europa contains a signal.
17Min,55,235.04,235.18,en,58,A secret.
17Min,55,235.04,235.18,en,58,A secret.
17Min,56,236.79999999999998,241.66,en,59,"When Voyager 1 passed by Jupiter in 1979, it took this photo of Europa."
17Min,56,236.79999999999998,241.66,en,59,"When Voyager 1 passed by Jupiter in 1979, it took this photo of Europa."
17Min,57,241.94,247.64,en,60,"If you compare that to most of the other moons in the solar system, you'll notice something is missing."
17Min,57,241.94,247.64,en,60,"If you compare that to most of the other moons in the solar system, you'll notice something is missing."
17Min,58,248.84,249.52,en,61,Craters.
17Min,58,248.84,249.52,en,61,Craters.
17Min,59,250.0,257.82,en,61,"Every planet and moon has been bombarded by asteroids over billions of years, and most planetary surfaces show it."
17Min,59,250.0,257.82,en,61,"Every planet and moon has been bombarded by asteroids over billions of years, and most planetary surfaces show it."
17Min,60,258.71999999999997,259.74,en,64,But not Europa.
17Min,60,258.71999999999997,259.74,en,64,But not Europa.
17Min,61,260.92,261.68,en,64,So why not?
17Min,61,260.92,261.68,en,64,So why not?
17Min,62,263.26,264.22,en,65,"Well, something recent."
17Min,62,263.26,264.22,en,65,"Well, something recent."
17Min,63,264.3,264.7,en,65,Say.
17Min,63,264.3,264.7,en,65,Say.
17Min,64,264.7,272.16,en,65,"Over the past 60 million years or so, must have been happening on Europa to erase most of these craters from the surface."
17Min,64,264.7,272.16,en,65,"Over the past 60 million years or so, must have been happening on Europa to erase most of these craters from the surface."
17Min,65,273.54,277.16,en,66,"Sixteen years after Voyager, Galileo arrived to Jupiter."
17Min,65,273.54,277.16,en,66,"Sixteen years after Voyager, Galileo arrived to Jupiter."
17Min,66,278.14,282.1,en,67,It spent eight years studying both the gas giant and its moons.
17Min,66,278.14,282.1,en,67,It spent eight years studying both the gas giant and its moons.
17Min,67,282.48,286.44,en,67,And Galileo's magnetometer picked up something interesting on Europa.
17Min,67,282.48,286.44,en,67,And Galileo's magnetometer picked up something interesting on Europa.
17Min,68,287.14,291.92,en,68,"Jupiter's magnetic poles, like Earth's, aren't aligned with its geographic poles."
17Min,68,287.14,291.92,en,68,"Jupiter's magnetic poles, like Earth's, aren't aligned with its geographic poles."
17Min,69,292.14,294.68,en,69,"So as the planet rotates every 10 years, it's not aligned with its geographic poles."
17Min,69,292.14,294.68,en,69,"So as the planet rotates every 10 years, it's not aligned with its geographic poles."
17Min,70,294.68,294.72,en,69,"So when you're at the surface of Europa, you can see the entire magnetic field wobbling."
17Min,70,294.68,294.72,en,69,"So when you're at the surface of Europa, you can see the entire magnetic field wobbling."
17Min,73,294.72,297.66,en,69,"In a matter of only 10 hours, the whole magnetic field wobbles."
17Min,73,294.72,297.66,en,69,"In a matter of only 10 hours, the whole magnetic field wobbles."
17Min,74,298.4,305.66,en,69,"This changing field from Jupiter induces a magnetic field on Europa, and a relatively strong one at that."
17Min,74,298.4,305.66,en,69,"This changing field from Jupiter induces a magnetic field on Europa, and a relatively strong one at that."
17Min,75,306.18,307.04,en,70,The magnetic field is a magnetic field that is directly connected to the water's surface.
17Min,75,306.18,307.04,en,70,The magnetic field is a magnetic field that is directly connected to the water's surface.
17Min,76,307.04,312.06,en,70,That means there must be an electrically conductive layer within Europa that reacts to Jupiter's field.
17Min,76,307.04,312.06,en,70,That means there must be an electrically conductive layer within Europa that reacts to Jupiter's field.
17Min,77,312.84000000000003,319.56,en,71,"And readings from Galileo indicate that it must be somewhere close to the surface, only tens of kilometers deep."
17Min,77,312.84000000000003,319.56,en,71,"And readings from Galileo indicate that it must be somewhere close to the surface, only tens of kilometers deep."
17Min,78,321.92,323.76,en,72,So what kind of conductive layer?
17Min,78,321.92,323.76,en,72,So what kind of conductive layer?
17Min,79,325.65999999999997,330.92,en,73,"Well, Europa's white surface is almost entirely covered in a thick crust of water ice."
17Min,79,325.65999999999997,330.92,en,73,"Well, Europa's white surface is almost entirely covered in a thick crust of water ice."
17Min,80,331.46,336.52,en,74,"These reddish-brown regions, when observed through a spectrometer, fit the description"
17Min,80,331.46,336.52,en,74,"These reddish-brown regions, when observed through a spectrometer, fit the description"
17Min,81,336.52,341.1,en,75,"of a lot of things, like hydrated salts, sulfuric acid, or even bacteria."
17Min,81,336.52,341.1,en,75,"of a lot of things, like hydrated salts, sulfuric acid, or even bacteria."
17Min,82,341.62,347.86,en,75,"We need more data to be sure, but recent experiments at JPL found that sea salt, when bombarded"
17Min,82,341.62,347.86,en,75,"We need more data to be sure, but recent experiments at JPL found that sea salt, when bombarded"
17Min,83,347.86,353.14,en,76,"with intense radiation, turns from white to this same brownish color found on Europa."
17Min,83,347.86,353.14,en,76,"with intense radiation, turns from white to this same brownish color found on Europa."
17Min,84,355.08000000000004,360.02,en,79,So scientists suspect that there's a whole saltwater ocean inside Europa that could be
17Min,84,355.08000000000004,360.02,en,79,So scientists suspect that there's a whole saltwater ocean inside Europa that could be
17Min,85,360.02,366.84,en,81,"100 kilometers deep, meaning Europa would contain twice as much water as the whole of"
17Min,85,360.02,366.84,en,81,"100 kilometers deep, meaning Europa would contain twice as much water as the whole of"
17Min,86,366.84,367.26,en,83,the Earth.
17Min,86,366.84,367.26,en,83,the Earth.
17Min,87,367.66,373.26,en,83,And it must be driving geological activity that constantly smooths out and renews the
17Min,87,367.66,373.26,en,83,And it must be driving geological activity that constantly smooths out and renews the
17Min,88,373.26,374.12,en,84,surface of the Moon.
17Min,88,373.26,374.12,en,84,surface of the Moon.
17Min,89,376.72,377.84,en,85,But the Jupiterian Earth is a very small and very small planet.
17Min,89,376.72,377.84,en,85,But the Jupiterian Earth is a very small and very small planet.
17Min,92,377.84,382.12,en,85,The Jupiter system only gets about 4% of the sunlight we get here on Earth.
17Min,92,377.84,382.12,en,85,The Jupiter system only gets about 4% of the sunlight we get here on Earth.
17Min,93,382.94,389.28,en,87,"So Europa's surface is constantly below negative 160 degrees Celsius, so you'd expect the"
17Min,93,382.94,389.28,en,87,"So Europa's surface is constantly below negative 160 degrees Celsius, so you'd expect the"
17Min,94,389.28,391.48,en,87,whole ocean to be frozen solid.
17Min,94,389.28,391.48,en,87,whole ocean to be frozen solid.
17Min,95,391.84,396.62,en,87,But there's a way to generate heat that doesn't rely on the Sun.
17Min,95,391.84,396.62,en,87,But there's a way to generate heat that doesn't rely on the Sun.
17Min,96,396.88,399.8,en,88,And I've got a little demo here to prove it.
17Min,96,396.88,399.8,en,88,And I've got a little demo here to prove it.
17Min,97,401.0,403.54,en,90,Europa's orbit around Jupiter isn't a perfect circle.
17Min,97,401.0,403.54,en,90,Europa's orbit around Jupiter isn't a perfect circle.
17Min,98,403.66,407.72,en,90,"This is because Io, Europa, and Ganymede are all in orbit."
17Min,98,403.66,407.72,en,90,"This is because Io, Europa, and Ganymede are all in orbit."
17Min,99,407.72,413.28,en,90,"Each time Ganymede completes one orbit, Europa completes two, and Io four."
17Min,99,407.72,413.28,en,90,"Each time Ganymede completes one orbit, Europa completes two, and Io four."
17Min,100,413.66,419.3,en,90,"Because of that, Io tugs Europa inward on one side of the orbit, while Ganymede pulls"
17Min,100,413.66,419.3,en,90,"Because of that, Io tugs Europa inward on one side of the orbit, while Ganymede pulls"
17Min,101,419.3,422.76,en,90,"it out on the other, making its orbit more eccentric."
17Min,101,419.3,422.76,en,90,"it out on the other, making its orbit more eccentric."
17Min,102,423.62,428.58,en,90,Now Jupiter's pull is stronger on the closer side of the orbit than on the farther side.
17Min,102,423.62,428.58,en,90,Now Jupiter's pull is stronger on the closer side of the orbit than on the farther side.
17Min,103,428.84,434.64,en,90,"So Europa is constantly being stretched and squeezed, stretched and squeezed."
17Min,103,428.84,434.64,en,90,"So Europa is constantly being stretched and squeezed, stretched and squeezed."
17Min,104,435.34000000000003,437.7,en,90,And you can see how this rock is moving.
17Min,104,435.34000000000003,437.7,en,90,And you can see how this rock is moving.
17Min,107,437.72,441.4,en,91,The rubber ball gets warmer as I squeeze it.
17Min,107,437.72,441.4,en,91,The rubber ball gets warmer as I squeeze it.
17Min,108,442.18,447.34,en,92,Scientists believe that the friction caused by the tidal flexing of the entire moon can
17Min,108,442.18,447.34,en,92,Scientists believe that the friction caused by the tidal flexing of the entire moon can
17Min,109,447.34,450.08,en,93,generate enough heat to keep the ocean liquid.
17Min,109,447.34,450.08,en,93,generate enough heat to keep the ocean liquid.
17Min,110,450.4,456.04,en,93,"This effect gets stronger the closer you get to Jupiter, which is why Io is so volcanically"
17Min,110,450.4,456.04,en,93,"This effect gets stronger the closer you get to Jupiter, which is why Io is so volcanically"
17Min,111,456.04,456.46,en,95,active.
17Min,111,456.04,456.46,en,95,active.
17Min,112,457.74,461.02,en,95,"So you can see, this ball is significantly hotter now."
17Min,112,457.74,461.02,en,95,"So you can see, this ball is significantly hotter now."
17Min,113,461.24,465.04,en,97,I held onto this ball at the same time to make sure it wasn't just the heat coming in
17Min,113,461.24,465.04,en,97,I held onto this ball at the same time to make sure it wasn't just the heat coming in
17Min,114,465.04,465.6,en,98,from my hand.
17Min,114,465.04,465.6,en,98,from my hand.
17Min,115,466.44,467.58,en,98,What sort of...
17Min,115,466.44,467.58,en,98,What sort of...
17Min,116,467.58,469.0,en,99,What sort of temperature of the ocean are we thinking?
17Min,116,467.58,469.0,en,99,What sort of temperature of the ocean are we thinking?
17Min,117,469.46,472.18,en,99,So it depends on how salty it is.
17Min,117,469.46,472.18,en,99,So it depends on how salty it is.
17Min,118,472.24,480.86,en,101,"So melting temperature of ice, or maybe depressed by 10 degrees Celsius below that if it's a"
17Min,118,472.24,480.86,en,101,"So melting temperature of ice, or maybe depressed by 10 degrees Celsius below that if it's a"
17Min,119,480.86,482.68,en,102,very salty ocean.
17Min,119,480.86,482.68,en,102,very salty ocean.
17Min,120,482.8,485.98,en,102,Similar to cold oceans on Earth.
17Min,120,482.8,485.98,en,102,Similar to cold oceans on Earth.
17Min,121,486.24,491.66,en,103,And how would the flexing differ if there's this big liquid ocean versus if there's no
17Min,121,486.24,491.66,en,103,And how would the flexing differ if there's this big liquid ocean versus if there's no
17Min,122,491.66,492.16,en,104,ocean there?
17Min,122,491.66,492.16,en,104,ocean there?
17Min,123,492.36,497.42,en,104,"If there's no ocean, Europa should flex by only about one meter in amplitude."
17Min,123,492.36,497.42,en,104,"If there's no ocean, Europa should flex by only about one meter in amplitude."
17Min,124,497.58,502.58,en,105,"But if there's an ocean in there, then it flexes with an amplitude of 30 meters."
17Min,124,497.58,502.58,en,105,"But if there's an ocean in there, then it flexes with an amplitude of 30 meters."
17Min,125,502.72,507.02,en,107,"So that's an enormous deflection, and that will come out pretty clearly in the gravity"
17Min,125,502.72,507.02,en,107,"So that's an enormous deflection, and that will come out pretty clearly in the gravity"
17Min,126,507.02,507.3,en,107,data.
17Min,126,507.02,507.3,en,107,data.
17Min,127,507.48,513.26,en,107,"Another argument for how thick the ice shell is, we see these very strange features on"
17Min,127,507.48,513.26,en,107,"Another argument for how thick the ice shell is, we see these very strange features on"
17Min,128,513.26,517.7,en,109,"the surface that are arcuate in shape, but like multiple arcs put together."
17Min,128,513.26,517.7,en,109,"the surface that are arcuate in shape, but like multiple arcs put together."
17Min,129,517.86,521.94,en,110,"We call them cycloids, and not something you'd expect to see on an icy moon."
17Min,129,517.86,521.94,en,110,"We call them cycloids, and not something you'd expect to see on an icy moon."
17Min,130,522.1,527.26,en,112,And we think they form if a crack propagates at just the right speed.
17Min,130,522.1,527.26,en,112,And we think they form if a crack propagates at just the right speed.
17Min,131,527.26,528.88,en,114,About the speed someone would walk.
17Min,131,527.26,528.88,en,114,About the speed someone would walk.
17Min,132,529.04,534.94,en,114,And is following the changing stress field of Europa being squeezed as it orbits around
17Min,132,529.04,534.94,en,114,And is following the changing stress field of Europa being squeezed as it orbits around
17Min,133,534.94,535.24,en,114,Jupiter.
17Min,133,534.94,535.24,en,114,Jupiter.
17Min,134,535.44,540.58,en,114,"And if there were no ocean down there, there wouldn't be enough of an amplitude of that"
17Min,134,535.44,540.58,en,114,"And if there were no ocean down there, there wouldn't be enough of an amplitude of that"
17Min,135,540.58,542.54,en,115,motion to explain the cracking.
17Min,135,540.58,542.54,en,115,motion to explain the cracking.
17Min,136,542.78,545.74,en,115,"But if there is an ocean, then it could explain the cracking."
17Min,136,542.78,545.74,en,115,"But if there is an ocean, then it could explain the cracking."
17Min,137,546.84,552.2,en,116,"All that tidal flexing pushes magma in the outer core up, closer to the seafloor."
17Min,137,546.84,552.2,en,116,"All that tidal flexing pushes magma in the outer core up, closer to the seafloor."
17Min,138,552.74,557.14,en,117,"Water flowing through the crust above it is heated, and it picks up minerals from the"
17Min,138,552.74,557.14,en,117,"Water flowing through the crust above it is heated, and it picks up minerals from the"
17Min,139,557.14,559.16,en,117,"ground, ejecting them into the ocean."
17Min,139,557.14,559.16,en,117,"ground, ejecting them into the ocean."
17Min,140,559.52,562.1,en,117,This creates hydrothermal vents.
17Min,140,559.52,562.1,en,117,This creates hydrothermal vents.
17Min,141,562.6,566.72,en,118,"And where we find these on Earth, we also find life."
17Min,141,562.6,566.72,en,118,"And where we find these on Earth, we also find life."
17Min,142,567.46,573.4,en,119,"Thousands of meters below the surface, with no sunlight, these vents are oases for ocean"
17Min,142,567.46,573.4,en,119,"Thousands of meters below the surface, with no sunlight, these vents are oases for ocean"
17Min,143,573.4,573.76,en,121,life.
17Min,143,573.4,573.76,en,121,life.
17Min,144,574.08,577.14,en,121,The life forms down here rely on unique bacteria.
17Min,144,574.08,577.14,en,121,The life forms down here rely on unique bacteria.
17Min,145,577.88,582.56,en,123,"Bacteria that feed on the minerals from the vents, rather than from the energy provided"
17Min,145,577.88,582.56,en,123,"Bacteria that feed on the minerals from the vents, rather than from the energy provided"
17Min,146,582.56,583.2,en,125,by the sun.
17Min,146,582.56,583.2,en,125,by the sun.
17Min,147,584.22,587.02,en,125,How long are we thinking that Europa is?
17Min,147,584.22,587.02,en,125,How long are we thinking that Europa is?
17Min,148,587.02,589.96,en,126,It could be 4 billion years.
17Min,148,587.02,589.96,en,126,It could be 4 billion years.
17Min,149,590.08,591.06,en,127,We don't know for sure.
17Min,149,590.08,591.06,en,127,We don't know for sure.
17Min,150,591.26,596.32,en,127,That amount of time could give life the opportunity to evolve in those oceans.
17Min,150,591.26,596.32,en,127,That amount of time could give life the opportunity to evolve in those oceans.
17Min,151,596.62,596.92,en,128,Right.
17Min,151,596.62,596.92,en,128,Right.
17Min,152,596.96,597.72,en,128,Exactly right.
17Min,152,596.96,597.72,en,128,Exactly right.
17Min,153,597.86,602.82,en,128,"Organisms can use methane, carbon dioxide, sulfur reactions."
17Min,153,597.86,602.82,en,128,"Organisms can use methane, carbon dioxide, sulfur reactions."
17Min,154,603.14,607.4,en,130,Any chemical reaction you can think of that might happen in the ocean can potentially
17Min,154,603.14,607.4,en,130,Any chemical reaction you can think of that might happen in the ocean can potentially
17Min,155,607.4,612.14,en,130,be used as a fuel for that organism's metabolism.
17Min,155,607.4,612.14,en,130,be used as a fuel for that organism's metabolism.
17Min,156,612.3,616.8,en,131,So we're not talking about searching for fishes or whales or squids or something.
17Min,156,612.3,616.8,en,131,So we're not talking about searching for fishes or whales or squids or something.
17Min,157,616.8,619.72,en,133,We're talking about looking for single-celled organisms.
17Min,157,616.8,619.72,en,133,We're talking about looking for single-celled organisms.
17Min,158,621.4799999999999,626.0,en,134,We were so concerned there might be life on Europa that when the Galileo mission was ending
17Min,158,621.4799999999999,626.0,en,134,We were so concerned there might be life on Europa that when the Galileo mission was ending
17Min,159,626.0,631.5,en,135,"in 2003, it was deliberately crashed into Jupiter to avoid the risk of contaminating"
17Min,159,626.0,631.5,en,135,"in 2003, it was deliberately crashed into Jupiter to avoid the risk of contaminating"
17Min,160,631.5,631.82,en,137,Europa.
17Min,160,631.5,631.82,en,137,Europa.
17Min,161,632.28,636.76,en,138,But Clipper will not be able to drill through the kilometers thick ice crust.
17Min,161,632.28,636.76,en,138,But Clipper will not be able to drill through the kilometers thick ice crust.
17Min,162,637.5799999999999,641.9,en,139,So how are we going to find evidence for life beneath that thick surface?
17Min,162,637.5799999999999,641.9,en,139,So how are we going to find evidence for life beneath that thick surface?
17Min,163,643.4,645.1,en,140,This is the Snotbot.
17Min,163,643.4,645.1,en,140,This is the Snotbot.
17Min,164,645.34,646.78,en,140,It's a drone with petri-salt.
17Min,164,645.34,646.78,en,140,It's a drone with petri-salt.
17Min,165,646.78,651.12,en,141,"It has petri dishes glued to the top, and it flies right through whale blows to collect"
17Min,165,646.78,651.12,en,141,"It has petri dishes glued to the top, and it flies right through whale blows to collect"
17Min,166,651.12,653.14,en,142,whale snot right here on Earth.
17Min,166,651.12,653.14,en,142,whale snot right here on Earth.
17Min,167,653.4,659.32,en,142,And zoologists can use the Snotbot to retrieve all sorts of info on a whale's biology.
17Min,167,653.4,659.32,en,142,And zoologists can use the Snotbot to retrieve all sorts of info on a whale's biology.
17Min,168,660.18,663.84,en,146,And it turns out we can do something very similar for celestial bodies too.
17Min,168,660.18,663.84,en,146,And it turns out we can do something very similar for celestial bodies too.
17Min,169,664.1,669.66,en,147,"We've actually captured images of water geysers shooting out of Enceladus, a moon of Saturn,"
17Min,169,664.1,669.66,en,147,"We've actually captured images of water geysers shooting out of Enceladus, a moon of Saturn,"
17Min,170,670.38,671.88,en,149,housing a subsurface ocean.
17Min,170,670.38,671.88,en,149,housing a subsurface ocean.
17Min,171,672.16,676.58,en,149,And the Hubble Space Telescope has picked up some evidence of what could be similar
17Min,171,672.16,676.58,en,149,And the Hubble Space Telescope has picked up some evidence of what could be similar
17Min,172,676.58,678.08,en,151,geyser eruptions on Europa.
17Min,172,676.58,678.08,en,151,geyser eruptions on Europa.
17Min,173,678.4,683.92,en,151,And the hope is that Clipper could fly through one of these plumes like the Snotbot and reveal
17Min,173,678.4,683.92,en,151,And the hope is that Clipper could fly through one of these plumes like the Snotbot and reveal
17Min,174,683.92,686.78,en,152,their chemical composition using a mass spectrometer.
17Min,174,683.92,686.78,en,152,their chemical composition using a mass spectrometer.
17Min,175,688.1,691.92,en,153,But evidence for an ocean on Europa isn't conclusive.
17Min,175,688.1,691.92,en,153,But evidence for an ocean on Europa isn't conclusive.
17Min,176,692.3,694.5,en,155,Enceladus seems like a stronger candidate.
17Min,176,692.3,694.5,en,155,Enceladus seems like a stronger candidate.
17Min,177,694.7,698.68,en,156,"We have actual images of its plumes, and we've even flown through them."
17Min,177,694.7,698.68,en,156,"We have actual images of its plumes, and we've even flown through them."
17Min,178,698.84,702.62,en,157,We are almost 100% certain there's a subsurface ocean there.
17Min,178,698.84,702.62,en,157,We are almost 100% certain there's a subsurface ocean there.
17Min,179,703.0,706.56,en,158,"If we have these plumes on Enceladus and there's clippings, then we're pretty sure that's"
17Min,179,703.0,706.56,en,158,"If we have these plumes on Enceladus and there's clippings, then we're pretty sure that's"
17Min,181,706.58,708.24,en,159,clearly maybe a liquid ocean there.
17Min,181,706.58,708.24,en,159,clearly maybe a liquid ocean there.
17Min,182,708.54,712.02,en,159,Why does Europa have your attention more than Enceladus?
17Min,182,708.54,712.02,en,159,Why does Europa have your attention more than Enceladus?
